,Artist,Name,date,price,comments,repeat_sale
37,Jeff Koons,Balloon dog,11.12.2013 ,"58,405,000 ",Orange ,0
38,Jackson Pollock,Number 19,05.15.2013 ,"58,363,752 ", ,1
39,Andy Warhol,Coca-Cola,11.12.2013 ,"57,285,000 ",3 ,0
40,Juan Gris,Nature morte à la nappe à carreaux,02.04.2014 ,"57,006,496 ", ,0
41,Mark Rothko,Untitled,05.15.2014 ,"56,165,000 ","Red, Blue, Orange ",1
42,Roy Lichtenstein,Woman with Flowered Hat,05.15.2013 ,"56,123,752 ", ,0
43,Pablo Picasso,Femme aux bras croisés,11.08.2000 ,"55,006,000 ", ,0
44,Claude Monet,Nymphéas,06.23.2014 ,"53,982,180 ", ,1
45,Vincent van Gogh,Irises,11.11.1987 ,"53,900,000 ", ,0
46,Alberto Giacometti,Grande tête mince,05.04.2010 ,"53,282,500 ", ,0
47,Francis Bacon,Study from Innocent X,05.15.2007 ,"52,680,000 ", ,0
48,Amedeo Modigliani,Tête,06.14.2010 ,"52,327,264 ", ,0
49,Francis Bacon,Triptych 1974-77,02.06.2008 ,"51,893,420 ", ,0
50,Pablo Picasso,Les Noces de Pierrette,11.30.1989 ,"51,650,000 ", ,0
51,Pablo Picasso,Portrait d′Angel Fernández de Soto,06.23.2010 ,"51,373,652 ", ,1
52,Mark Rothko,No. 15,05.13.2008 ,"50,441,000 ", ,1
53,Alberto Giacometti,Grande tête mince,11.06.2013 ,"50,005,000 ",Grande tête de Diego ,0
54,Pablo Picasso,Femme assise dans un jardin,11.10.1999 ,"49,502,500 ", ,0
55,Jean-Michel Basquiat,Dustheads,05.15.2013 ,"48,843,752 ", ,0
56,Henri Matisse,"Nu de dos, 4 état",11.03.2010 ,"48,802,500 ",Back IV ,0
57,Pablo Picasso,Le Rêve,11.10.1997 ,"48,402,500 ", ,0
58,Raphaël (Raphaël Urbinas Sanzio),Head of a muse,12.08.2009 ,"48,033,684 ", ,0
59,Raphaël (Raphaël Urbinas Sanzio),Head of a Young Apostle,12.05.2012 ,"47,863,100 ", ,0
60,Pablo Picasso,Self Portrait: Yo Picasso,05.09.1989 ,"47,850,000 ", ,0
61,,Rome,12.03.2014 ,"47,594,196 ",from Mount Aventine ,0
62,,Abstraktes bild,02.10.2015 ,"46,297,640 ", ,1
63,Mark Rothko,No. 11,11.12.2013 ,"46,085,000 ",Untitled ,1
64,Norman Rockwell,Saying grace,12.04.2013 ,"46,085,000 ", ,0
65,Henri Matisse,"Les coucous, tapis bleu et rose",02.23.2009 ,"46,055,344 ", ,0
66,Li Keran,Mountains in red,06.03.2012 ,"46,030,324 ", ,0
67,Francis Bacon,Second Version of Study for Bullfight No. 1,11.14.2007 ,"45,961,000 ", ,0
68,Francis Bacon,Three studies for portrait of George Dyer,06.30.2014 ,"45,488,328 ",on light ground in 3 parts ,0
69,Pablo Picasso,Nu au fauteuil noir,11.09.1999 ,"45,102,500 ", ,0
70,,Modern Rome - Campo Vaccino,07.07.2010 ,"45,099,024 ", ,0
71,Mark Rothko,No. 21,11.11.2014 ,"44,965,000 ","Red, brown, black and orange ",0
72,Francis Bacon,Seated Figure,11.12.2014 ,"44,965,000 ", ,1
73,Pablo Picasso,Femme assise près d�une fenêtre,02.05.2013 ,"44,964,024 ", ,1
74,Roy Lichtenstein,Sleeping Girl,05.09.2012 ,"44,882,500 ", ,0
75,Francis Bacon,Figure Writing Reflected in Mirror,05.09.2012 ,"44,882,500 ", ,0
76,Georgia O′Keeffe,Jimson weed/White flower no. 1,11.20.2014 ,"44,405,000 ", ,1
77,Barnett Newman,Onement VI,05.14.2013 ,"43,845,000 ", ,0
78,Andy Warhol,200 one dollar bills,11.11.2009 ,"43,762,500 ", ,1
79,Claude Monet,Nymphéas,11.07.2012 ,"43,762,500 ", ,0
80,Andy Warhol,Statue of Liberty,11.14.2012 ,"43,762,500 ", ,0
81,Roy Lichtenstein,I can see the whole room!... and there′s nobody in it!,11.08.2011 ,"43,202,500 ", ,1
82,Francis Bacon,Self Portrait,06.21.2007 ,"42,957,148 ", ,0
83,Gustav Klimt,Kirche in Cassone - Landschaft mit Zypressen,02.03.2010 ,"42,944,776 ",Church in Cassone - Landscape with cypresses ,0
84,Francesco Guardi,"Venice, a view of the Rialto Bridge, looking north",07.06.2011 ,"42,913,160 ",from The Fondamenta del carbon ,0
85,Roy Lichtenstein,Ohhh...Alright...,11.10.2010 ,"42,642,500 ", ,0
86,Amedeo Modigliani,Jeanne Hébuterne,02.06.2013 ,"42,347,128 ",Au chapeau ,1
